City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,severo-yeniseyskiy,60.3725,93.0408,0.64,77,100,4.83,RU,2024-09-15 04:29:37
253,urumqi,43.801,87.6005,14.53,59,0,1.0,CN,2024-09-15 04:29:38
254,calasparra,38.23,-1.6999,16.64,73,0,0.39,ES,2024-09-15 04:29:39
255,mossel bay,-34.1831,22.146,11.96,88,2,3.09,ZA,2024-09-15 04:29:41
256,yemetsk,63.4721,41.7941,12.94,76,90,2.12,RU,2024-09-15 04:29:42
257,naze,28.3667,129.4833,27.51,87,100,6.21,JP,2024-09-15 04:29:43
258,port shepstone,-30.7414,30.455,17.77,89,99,3.11,ZA,2024-09-15 04:29:44
259,keflavik,64.0049,-22.5624,5.24,81,20,6.17,IS,2024-09-15 04:29:45
260,kibaya,-5.3,36.5667,12.41,93,8,1.01,TZ,2024-09-15 04:29:46
261,coquimbo,-29.9533,-71.3436,10.85,92,0,2.06,CL,2024-09-15 04:29:47
262,chui,-33.6971,-53.4616,7.4,85,0,2.21,UY,2024-09-15 04:29:48
263,port saint john's,-31.6229,29.5448,17.98,84,94,5.45,ZA,2024-09-15 04:29:49
264,dampit,-8.2116,112.7493,30.52,32,100,4.2,ID,2024-09-15 04:29:50
265,laguna,38.421,-121.4238,22.1,56,0,4.12,US,2024-09-15 04:29:52
266,ola,59.5833,151.2833,8.37,75,96,1.85,RU,2024-09-15 04:29:53
267,humberto de campos,-2.5983,-43.4611,24.7,81,1,3.05,BR,2024-09-15 04:29:54
268,belyy yar,53.6039,91.3903,6.94,87,75,3.0,RU,2024-09-15 04:29:55
269,mega,4.05,38.3,13.43,80,10,6.36,ET,2024-09-15 04:29:56
270,new norfolk,-42.7826,147.0587,11.62,57,86,4.34,AU,2024-09-15 04:29:57
271,kirensk,57.7853,108.1119,13.66,52,100,2.69,RU,2024-09-15 04:29:58
272,san antonio de pale,-1.4014,5.6325,23.97,85,100,5.25,GQ,2024-09-15 04:29:59
273,pacific grove,36.6177,-121.9166,14.09,93,100,2.24,US,2024-09-15 04:30:03
274,nuuk,64.1835,-51.7216,3.34,100,100,4.12,GL,2024-09-15 04:30:04
275,tralee,52.2704,-9.7026,13.73,99,100,1.59,IE,2024-09-15 04:30:05
276,lloydminster,53.2835,-110.0016,14.12,72,40,2.06,CA,2024-09-15 04:30:06
